ID_CAMPANHA,LIBERAR_GRADE_WEB,PRODUTO,COR_PRODUTO,ESTOQUE,ES1,ES2,ES3,ES4,ES5,ES6,ES7,ES8,ES9,ES10,ES11,ES12,ES13,ES14,ES15,ES16,R_PRODUTO,R_ESTOQUE,R_ES1,R_ES2,R_ES3,R_ES4,R_ES5,R_ES6,R_ES7,R_ES8,R_ES9,R_ES10,R_ES11,R_ES12,R_ES13,R_ES14,R_ES15,R_ES16,status
99,0,373080,59567,16,3,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373081,59567,18,3,6,4,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373084,59504,54,11,17,13,8,5,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373085,59504,26,5,9,6,4,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373086,59504,29,5,9,7,5,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373087,59538,29,5,10,7,4,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373088,59538,34,7,11,8,5,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373090,59538,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373091,59538,24,4,8,6,4,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373092,59599,23,4,8,5,4,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373093,59599,29,6,9,7,4,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373094,59599,87,16,29,20,13,9,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373096,59599,24,4,8,6,4,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373098,59600,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373099,59600,25,5,9,6,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373108,59463,29,5,10,7,4,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373109,59463,46,9,15,11,7,4,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373110,59463,25,5,9,6,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373111,59463,26,5,9,6,4,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373113,59524,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373114,59524,24,5,8,6,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373116,59524,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373117,59524,18,3,6,4,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373142,59594,23,4,8,5,4,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373170,59481,37,7,13,9,5,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373184,05024,26,6,10,5,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373184,07448,38,8,15,8,5,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373199,07742,31,7,12,6,4,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373202,05024,26,6,10,5,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373203,2276,14,3,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373206,0105,35,9,14,5,4,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373207,0105,35,3,7,10,7,4,2,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373218,2276,24,5,9,5,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373236,2276,26,6,10,5,3,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373279,02025,22,5,8,5,3,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373279,07448,31,7,12,6,4,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373281,05052,31,7,12,6,4,2,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373281,07448,44,10,17,9,5,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373285,59557,48,10,18,10,7,3,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
99,0,373286,07448,19,4,7,4,3,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,PENDENTE_INSERT
