ID_CAMPANHA,LIBERAR_GRADE_WEB,PRODUTO,COR_PRODUTO,ESTOQUE,ES1,ES2,ES3,ES4,ES5,ES6,ES7,ES8,ES9,ES10,ES11,ES12,ES13,ES14,ES15,ES16,R_ESTOQUE,R_ES1,R_ES2,R_ES3,R_ES4,R_ES5,R_ES6,R_ES7,R_ES8,R_ES9,R_ES10,R_ES11,R_ES12,R_ES13,R_ES14,R_ES15,R_ES16,status
54,0,372541      ,59479       ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,18,3,6,4,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372557      ,59499       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372558      ,59499       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,3,5,4,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372666      ,59574       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5,9,7,4,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372669      ,59474       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,4,8,5,4,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372697      ,59500       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,4,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372698      ,59500       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,6,4,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372699      ,59500       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372704      ,59594       ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,27,5,9,6,4,3,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372706      ,59594       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
54,0,372707      ,59594       ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,5,3,2,1,0,0,0,0,0,0,0,0,0,0,0,PENDENTE_UPDATE
