PRODUTO,COR_PRODUTO,ID_CAMPANHA,DT_EXCLUSAO,motivo
378121      ,59476     ,54,,FORA_DA_PLANILHA
378124      ,59613     ,54,,FORA_DA_PLANILHA
378127      ,59509     ,54,,FORA_DA_PLANILHA
378129      ,59509     ,54,,FORA_DA_PLANILHA
378326      ,59518     ,54,,FORA_DA_PLANILHA
378362      ,07448     ,54,,FORA_DA_PLANILHA
378363      ,07684     ,54,,FORA_DA_PLANILHA
378363      ,07820     ,54,,FORA_DA_PLANILHA
378365      ,07684     ,54,,FORA_DA_PLANILHA
378365      ,07820     ,54,,FORA_DA_PLANILHA
378368      ,0013      ,54,,FORA_DA_PLANILHA
378389      ,59515     ,54,,FORA_DA_PLANILHA
378398      ,0013      ,54,,FORA_DA_PLANILHA
378399      ,07448     ,54,,FORA_DA_PLANILHA
378399      ,07684     ,54,,FORA_DA_PLANILHA
378399      ,07820     ,54,,FORA_DA_PLANILHA
378400      ,07835     ,54,,FORA_DA_PLANILHA
378401      ,07835     ,54,,FORA_DA_PLANILHA
378402      ,07448     ,54,,FORA_DA_PLANILHA
378402      ,07684     ,54,,FORA_DA_PLANILHA
378402      ,07820     ,54,,FORA_DA_PLANILHA
378403      ,0013      ,54,,FORA_DA_PLANILHA
378930      ,2276      ,54,,FORA_DA_PLANILHA
378962      ,0026      ,54,,FORA_DA_PLANILHA
379024      ,0101      ,54,,FORA_DA_PLANILHA
379040      ,0101      ,54,,FORA_DA_PLANILHA
379058      ,59477     ,54,,FORA_DA_PLANILHA
379141      ,59609     ,54,,FORA_DA_PLANILHA
379159      ,05023     ,54,,FORA_DA_PLANILHA
379166      ,59617     ,54,,FORA_DA_PLANILHA
